종목코드,업종
479960,기타 전기장비 제조업
463480,전자부품 제조업
303810,의약품 제조업
475830,기초 의약물질 제조업
240550,의료용 기기 제조업
212710,반도체 제조업
064400,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
462980,기타 정보 서비스업
452450,특수 목적용 기계 제조업
482630,기타 화학제품 제조업
373160,기타 교육기관
450950,의료용 기기 제조업
096250,소프트웨어 개발 및 공급업
475460,기타 정보 서비스업
493790,금융 지원 서비스업
478560,신발 및 신발 부분품 제조업
332190,의료용 기기 제조업
432980,기초 의약물질 제조업
387570,의료용 기기 제조업
177900,반도체 제조업
499790,기타 금융업
487360,금융 지원 서비스업
495810,소프트웨어 개발 및 공급업
368030,특수 목적용 기계 제조업
176750,의약품 제조업
487720,금융 지원 서비스업
398120,의료용 기기 제조업
476060,자연과학 및 공학 연구개발업
382150,자연과학 및 공학 연구개발업
457600,영상 및 음향기기 제조업
484870,특수 목적용 기계 제조업
471820,기타 식품 제조업
495900,의료용 기기 제조업
492220,금융 지원 서비스업
489480,금융 지원 서비스업
415640,신탁업 및 집합투자업
489730,기타 금융업
489210,금융 지원 서비스업
482690,금융 지원 서비스업
459100,전자부품 제조업
389680,소프트웨어 개발 및 공급업
474610,기타 금속 가공제품 제조업
466410,소프트웨어 개발 및 공급업
484130,금융 지원 서비스업
475660,기타 화학제품 제조업
413390,특수 목적용 기계 제조업
487830,금융 지원 서비스업
394800,자연과학 및 공학 연구개발업
464580,"영화, 비디오물, 방송프로그램 제작 및 배급업"
473980,창작 및 예술관련 서비스업
163280,일반 목적용 기계 제조업
475960,사진장비 및 광학기기 제조업
475560,상품 종합 도매업
376270,자연과학 및 공학 연구개발업
475580,그외 기타 제품 제조업
336680,전자부품 제조업
458650,일차전지 및 이차전지 제조업
488060,금융 지원 서비스업
476710,창작 및 예술관련 서비스업
466100,소프트웨어 개발 및 공급업
044990,전자부품 제조업
289930,반도체 제조업
475400,특수 목적용 기계 제조업
457370,기초 화학물질 제조업
474170,"항공기,우주선 및 부품 제조업"
209640,특수 목적용 기계 제조업
465480,소프트웨어 개발 및 공급업
308430,의약품 제조업
381620,특수 목적용 기계 제조업
351870,광고업
489790,통신 및 방송 장비 제조업
486630,금융 지원 서비스업
464500,반도체 제조업
482680,금융 지원 서비스업
469750,특수 목적용 기계 제조업
461300,소프트웨어 개발 및 공급업
456070,기초 의약물질 제조업
476080,"영화, 비디오물, 방송프로그램 제작 및 배급업"
478780,금융 지원 서비스업
464280,의약품 제조업
389650,의료용 기기 제조업
431190,소프트웨어 개발 및 공급업
079900,특수 목적용 기계 제조업
088340,소프트웨어 개발 및 공급업
482520,금융 지원 서비스업
199480,소프트웨어 개발 및 공급업
460470,사진장비 및 광학기기 제조업
460940,의료용 기기 제조업
487570,기타 금융업
062040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
481890,금융 지원 서비스업
473950,금융 지원 서비스업
373110,기초 의약물질 제조업
478110,금융 지원 서비스업
462870,소프트웨어 개발 및 공급업
450330,의료용품 및 기타 의약 관련제품 제조업
462350,"항공기,우주선 및 부품 제조업"
481850,신탁업 및 집합투자업
295310,1차 비철금속 제조업
266350,소프트웨어 개발 및 공급업
160190,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
479880,금융 지원 서비스업
464080,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
478440,금융 지원 서비스업
477340,금융 지원 서비스업
034230,유원지 및 기타 오락관련 서비스업
107640,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
478390,금융 지원 서비스업
477470,금융 지원 서비스업
458870,의료용 기기 제조업
477760,기타 금융업
462510,의료용 기기 제조업
453450,"그외 기타 전문, 과학 및 기술 서비스업"
323350,특수 목적용 기계 제조업
477380,금융 지원 서비스업
145170,편조의복 제조업
456010,반도체 제조업
443060,"건축기술, 엔지니어링 및 관련 기술 서비스업"
473000,금융 지원 서비스업
